Country,Year,Divorce_Rate
Azerbaijan,2019,6.66
Azerbaijan,2020,8.64
Azerbaijan,2021,8.54
Azerbaijan,2022,6.4
Azerbaijan,2023,6.58
Belarus,1990,10.59
Belarus,1991,10.94
Belarus,1992,11.42
Belarus,1993,11.96
Belarus,1994,12.51
Belarus,1995,12.85
Belarus,1996,13.18
Belarus,1997,13.43
Belarus,1998,13.81
Belarus,1999,13.87
Belarus,2000,14.07
Belarus,2001,14.33
Belarus,2002,14.71
Belarus,2003,14.75
Belarus,2004,14.65
Belarus,2005,14.57
Belarus,2006,14.38
Belarus,2007,14.15
Belarus,2008,14.07
Belarus,2009,14.24
Belarus,2010,14.29
Belarus,2011,14.02
Belarus,2012,13.6
Belarus,2013,13.11
Belarus,2014,12.86
Belarus,2015,12.63
Belarus,2016,12.54
Belarus,2017,12.54
Belarus,2018,12.85
Belarus,2019,13.16
Belarus,2020,15.78
Belarus,2021,15.84
Belarus,2022,13.25
Belarus,2023,13.34
Belgium,1990,10.47
Belgium,1991,10.43
Belgium,1992,10.39
Belgium,1993,10.62
Belgium,1994,10.27
Belgium,1995,10.37
Belgium,1996,10.32
Belgium,1997,10.23
Belgium,1998,10.28
Belgium,1999,10.28
Belgium,2000,10.27
Belgium,2001,10.08
Belgium,2002,10.25
Belgium,2003,10.32
Belgium,2004,9.8
Belgium,2005,9.86
Belgium,2006,9.63
Belgium,2007,9.62
Belgium,2008,9.78
Belgium,2009,9.67
Belgium,2010,9.62
Belgium,2011,9.44
Belgium,2012,9.82
Belgium,2013,9.81
Belgium,2014,9.35
Belgium,2015,9.83
Belgium,2016,9.54
Belgium,2017,9.65
Belgium,2018,9.69
Belgium,2019,9.48
Belgium,2020,11.03
Belgium,2021,9.71
Belgium,2022,10.29
Belgium,2023,9.72
Bosnia and Herzegovina,1990,7.54
Bosnia and Herzegovina,1991,7.54
Bosnia and Herzegovina,1992,19.57
Bosnia and Herzegovina,1993,19.95
Bosnia and Herzegovina,1994,10.66
Bosnia and Herzegovina,1995,9.08
Bosnia and Herzegovina,1996,7.75
Bosnia and Herzegovina,1997,7.64
Bosnia and Herzegovina,1998,7.47
Bosnia and Herzegovina,1999,7.38
Bosnia and Herzegovina,2000,7.41
Bosnia and Herzegovina,2001,7.48
Bosnia and Herzegovina,2002,7.49
Bosnia and Herzegovina,2003,7.49
Bosnia and Herzegovina,2004,7.82
Bosnia and Herzegovina,2005,8.21
Bosnia and Herzegovina,2006,8.88
Bosnia and Herzegovina,2007,9.17
Bosnia and Herzegovina,2008,9.49
Bosnia and Herzegovina,2009,9.59
Bosnia and Herzegovina,2010,9.96
Bosnia and Herzegovina,2011,10.3
Bosnia and Herzegovina,2012,10.71
Bosnia and Herzegovina,2013,11.05
Bosnia and Herzegovina,2014,11.49
Bosnia and Herzegovina,2015,11.91
Bosnia and Herzegovina,2016,12.23
Bosnia and Herzegovina,2017,12.3
Bosnia and Herzegovina,2018,11.98
Bosnia and Herzegovina,2019,13.1
Bosnia and Herzegovina,2020,15.17
Bosnia and Herzegovina,2021,18.39
Bosnia and Herzegovina,2022,14.05
Bosnia and Herzegovina,2023,13.46
Bulgaria,1990,12.4
Bulgaria,1991,12.79
Bulgaria,1992,12.73
Bulgaria,1993,12.96
Bulgaria,1994,13.33
Bulgaria,1995,13.75
Bulgaria,1996,14.15
Bulgaria,1997,14.83
Bulgaria,1998,14.52
Bulgaria,1999,13.86
Bulgaria,2000,14.39
Bulgaria,2001,14.15
Bulgaria,2002,14.3
Bulgaria,2003,14.33
Bulgaria,2004,14.19
Bulgaria,2005,14.71
Bulgaria,2006,14.82
Bulgaria,2007,14.87
Bulgaria,2008,14.63
Bulgaria,2009,14.4
Bulgaria,2010,14.73
Bulgaria,2011,14.63
Bulgaria,2012,14.9
Bulgaria,2013,14.34
Bulgaria,2014,15.06
Bulgaria,2015,15.33
Bulgaria,2016,15.06
Bulgaria,2017,15.49
Bulgaria,2018,15.43
Bulgaria,2019,15.47
Bulgaria,2020,17.9
Bulgaria,2021,21.6
Bulgaria,2022,16.92
Bulgaria,2023,15.15
Canada,1990,6.94
Canada,1991,6.99
Canada,1992,6.95
Canada,1993,7.17
Canada,1994,7.18
Canada,1995,7.23
Canada,1996,7.23
Canada,1997,7.27
Canada,1998,7.28
Canada,1999,7.27
Canada,2000,7.15
Canada,2001,7.13
Canada,2002,7.19
Canada,2003,7.21
Canada,2004,7.16
Canada,2005,7.21
Canada,2006,7.09
Canada,2007,7.24
Canada,2008,7.26
Canada,2009,7.17
Canada,2010,7.14
Canada,2011,7.17
Canada,2012,7.18
Canada,2013,7.27
Canada,2014,7.39
Canada,2015,7.47
Canada,2016,7.45
Canada,2017,7.67
Canada,2018,7.77
Canada,2019,7.65
Canada,2020,8.17
Canada,2021,8.09
Canada,2022,8.7
Canada,2023,7.94
"China, Hong Kong SAR",1990,5.38
"China, Hong Kong SAR",1991,5.36
"China, Hong Kong SAR",1992,5.42
"China, Hong Kong SAR",1993,5.49
"China, Hong Kong SAR",1994,5.55
"China, Hong Kong SAR",1995,5.62
"China, Hong Kong SAR",1996,5.74
"China, Hong Kong SAR",1997,5.69
"China, Hong Kong SAR",1998,5.59
"China, Hong Kong SAR",1999,5.49
"China, Hong Kong SAR",2000,5.4
"China, Hong Kong SAR",2001,5.35
"China, Hong Kong SAR",2002,5.43
"China, Hong Kong SAR",2003,5.63
"China, Hong Kong SAR",2004,5.71
"China, Hong Kong SAR",2005,5.82
"China, Hong Kong SAR",2006,5.89
"China, Hong Kong SAR",2007,5.99
"China, Hong Kong SAR",2008,6.09
"China, Hong Kong SAR",2009,6.16
"China, Hong Kong SAR",2010,6.22
"China, Hong Kong SAR",2011,6.26
"China, Hong Kong SAR",2012,6.32
"China, Hong Kong SAR",2013,6.35
"China, Hong Kong SAR",2014,6.41
"China, Hong Kong SAR",2015,6.48
"China, Hong Kong SAR",2016,6.53
"China, Hong Kong SAR",2017,6.56
"China, Hong Kong SAR",2018,6.58
"China, Hong Kong SAR",2019,6.65
"China, Hong Kong SAR",2020,7.29
"China, Hong Kong SAR",2021,7.32
"China, Hong Kong SAR",2022,8.83
"China, Hong Kong SAR",2023,7.68
"China, Taiwan province of China",1990,5.07
"China, Taiwan province of China",1991,5.07
"China, Taiwan province of China",1992,5.22
"China, Taiwan province of China",1993,5.25
"China, Taiwan province of China",1994,5.35
"China, Taiwan province of China",1995,5.56
"China, Taiwan province of China",1996,5.59
"China, Taiwan province of China",1997,5.56
"China, Taiwan province of China",1998,5.66
"China, Taiwan province of China",1999,5.76
"China, Taiwan province of China",2000,5.74
"China, Taiwan province of China",2001,5.82
"China, Taiwan province of China",2002,5.85
"China, Taiwan province of China",2003,5.96
"China, Taiwan province of China",2004,6.11
"China, Taiwan province of China",2005,6.34
"China, Taiwan province of China",2006,6.15
"China, Taiwan province of China",2007,6.31
"China, Taiwan province of China",2008,6.41
"China, Taiwan province of China",2009,6.38
"China, Taiwan province of China",2010,6.46
"China, Taiwan province of China",2011,6.8
"China, Taiwan province of China",2012,6.84
"China, Taiwan province of China",2013,6.81
"China, Taiwan province of China",2014,7.14
"China, Taiwan province of China",2015,7.1
"China, Taiwan province of China",2016,7.45
"China, Taiwan province of China",2017,7.44
"China, Taiwan province of China",2018,7.4
"China, Taiwan province of China",2019,7.53
"China, Taiwan province of China",2020,7.36
"China, Taiwan province of China",2021,7.91
"China, Taiwan province of China",2022,9
"China, Taiwan province of China",2023,8.81
Croatia,1990,10.79
Croatia,1991,11.58
Croatia,1992,11.3
Croatia,1993,11.48
Croatia,1994,11.72
Croatia,1995,12.12
Croatia,1996,12.31
Croatia,1997,12.73
Croatia,1998,12.78
Croatia,1999,12.54
Croatia,2000,12.16
Croatia,2001,11.85
Croatia,2002,11.68
Croatia,2003,11.74
Croatia,2004,11.66
Croatia,2005,11.67
Croatia,2006,11.89
Croatia,2007,11.94
Croatia,2008,12.11
Croatia,2009,12.12
Croatia,2010,12.09
Croatia,2011,12.14
Croatia,2012,12.18
Croatia,2013,12.26
Croatia,2014,12.63
Croatia,2015,12.85
Croatia,2016,13.25
Croatia,2017,13.5
Croatia,2018,13.56
Croatia,2019,13.38
Croatia,2020,14.43
Croatia,2021,14.73
Croatia,2022,13.66
Croatia,2023,14.12
Cyprus,1990,7.18
Cyprus,1991,7.18
Cyprus,1992,7.28
Cyprus,1993,7.35
Cyprus,1994,7.29
Cyprus,1995,7.17
Cyprus,1996,7
Cyprus,1997,6.89
Cyprus,1998,6.89
Cyprus,1999,6.74
Cyprus,2000,6.62
Cyprus,2001,6.54
Cyprus,2002,6.29
Cyprus,2003,6.27
Cyprus,2004,6.29
Cyprus,2005,6.25
Cyprus,2006,6.18
Cyprus,2007,6.06
Cyprus,2008,6.1
Cyprus,2009,5.92
Cyprus,2010,5.88
Cyprus,2011,5.87
Cyprus,2012,5.84
Cyprus,2013,5.86
Cyprus,2014,5.99
Cyprus,2015,6.04
Cyprus,2016,6.14
Cyprus,2017,6.31
Cyprus,2018,6.38
Cyprus,2019,6.6
Cyprus,2020,6.67
Cyprus,2021,7.21
Cyprus,2022,7.69
Cyprus,2023,7.06
Czech Republic,1990,12.56
Czech Republic,1991,12.08
Czech Republic,1992,11.69
Czech Republic,1993,11.47
Czech Republic,1994,11.38
Czech Republic,1995,11.42
Czech Republic,1996,10.95
Czech Republic,1997,10.97
Czech Republic,1998,10.67
Czech Republic,1999,10.73
Czech Republic,2000,10.66
Czech Republic,2001,10.55
Czech Republic,2002,10.58
Czech Republic,2003,10.87
Czech Republic,2004,10.45
Czech Republic,2005,10.5
Czech Republic,2006,10.14
Czech Republic,2007,10.12
Czech Republic,2008,10.11
Czech Republic,2009,10.31
Czech Republic,2010,10.2
Czech Republic,2011,10.18
Czech Republic,2012,10.29
Czech Republic,2013,10.39
Czech Republic,2014,10.05
Czech Republic,2015,10.57
Czech Republic,2016,10.23
Czech Republic,2017,10.59
Czech Republic,2018,10.71
Czech Republic,2019,10.65
Czech Republic,2020,12.25
Czech Republic,2021,13.31
Czech Republic,2022,11
Czech Republic,2023,10.5
