"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(3.0.1)","MLT.CPI._T.IX.A","OBS_VALUE","Malta","Consumer price index (CPI)","All Items","93.17053121411509","95.38409586696282","96.5098994359043","96.80937590014997","97.87480980580432","98.5038539210533","99.84779566648238","101.0038570332665","102.662400985934","103.3179465699355","104.8655380114688","111.3187075787838","116.9892464642188",""
"IMF.STA:CPI(3.0.1)","PRT.CPI._T.IX.A","OBS_VALUE","Portugal","Consumer price index (CPI)","All Items","97.3015","100.0","100.2744166666667","99.99549999999998","100.4834166666667","101.09375","102.4773333333333","103.4956666666667","103.8456666666666","103.83275","105.1469166666666","113.38275","118.271","121.1285833333333"
"IMF.STA:CPI(3.0.1)","ESP.CPI._T.IX.A","OBS_VALUE","Spain","Consumer price index (CPI)","All Items","90.50358333333332","92.71741666666665","94.02341666666668","93.88133333333332","93.41158333333335","93.22233333333332","95.04583333333332","96.63783333333332","97.31383333333332","96.99975","100.0000833333334","108.3906666666667","112.2194166666667","115.3325833333334"
"IMF.STA:CPI(3.0.1)","AUS.CPI._T.IX.A","OBS_VALUE","Australia","Consumer price index (CPI)","All Items","99.275","101.025","103.5","106.075","107.675","109.05","111.175","113.3","115.125","116.1","119.425","127.3","134.425","138.675"
"IMF.STA:CPI(3.0.1)","TUR.CPI._T.IX.A","OBS_VALUE","Türkiye, Republic of","Consumer price index (CPI)","All Items","189.9458333333333","206.835","222.3333333333333","242.02","260.585","280.8458333333332","312.1441666666668","363.125","418.2358333333332","469.5908333333332","561.6141666666665","967.7108333333335","1488.914166666667","2360.025"
"IMF.STA:CPI(3.0.1)","NZL.CPI._T.IX.A","OBS_VALUE","New Zealand","Consumer price index (CPI)","All Items","94.269985","95.269165","96.34992","97.5326225","97.818105","98.450245","100.27235","101.875","103.525","105.3","109.45","117.3","124.025","127.65"
"IMF.STA:CPI(3.0.1)","ARG.CPI._T.IX.A","OBS_VALUE","Argentina","Consumer price index (CPI)","All Items","","","","","","","112.8871083333334","151.581675","232.7510916666666","330.5416833333332","490.5548583333335","845.8674583333332","1975.006925","6317.72975"
"IMF.STA:CPI(3.0.1)","BOL.CPI._T.IX.A","OBS_VALUE","Bolivia","Consumer price index (CPI)","All Items","76.64166666666665","80.10249999999998","84.6975","89.58166666666668","93.21833333333332","96.59583333333332","99.3225","101.5791666666667","103.4477611986","104.420937894925","105.19092089275","107.0279001650833","109.785889286325","115.3847123931167"
"IMF.STA:CPI(3.0.1)","BRA.CPI._T.IX.A","OBS_VALUE","Brazil","Consumer price index (CPI)","All Items","3321.196666666668","3500.6575","3717.849166666665","3953.153333333332","4310.119166666668","4686.786666666668","4848.310833333332","5025.994166666668","5213.613333333335","5381.0625","5827.78","6368.604166666668","6661.15","6952.073333333335"
"IMF.STA:CPI(3.0.1)","COL.CPI._T.IX.A","OBS_VALUE","Colombia","Consumer price index (CPI)","All Items","75.24604","77.63081416666665","79.19662166666669","81.49240333333331","85.55873666666665","91.98715833333333","95.9557725","99.06528583333335","102.555375","105.146575","108.8215083333333","119.896525","133.9674666666667","142.8214916666667"
"IMF.STA:CPI(3.0.1)","CRI.CPI._T.IX.A","OBS_VALUE","Costa Rica","Consumer price index (CPI)","All Items","80.24775","83.85525000000003","88.242","92.22983333333335","92.9695","92.95325","94.46458333333335","96.56275","98.58675","99.30141666666665","101.0158333333334","109.3746661573761","109.9490948041898","109.4945"
"IMF.STA:CPI(3.0.1)","DOM.CPI._T.IX.A","OBS_VALUE","Dominican Republic","Consumer price index (CPI)","All Items","77.70814970133571","80.57907502207821","84.47181062638575","87.00481803867348","87.73282767508643","89.14898121382062","92.07267282020695","95.3545427144325","97.08103566009592","100.7517004893533","109.0566666666666","118.66575","124.3446333333334","128.4507833333333"
"IMF.STA:CPI(3.0.1)","GTM.CPI._T.IX.A","OBS_VALUE","Guatemala","Consumer price index (CPI)","All Items","59.78587569377295","62.04686245267862","64.74178807693775","66.95489656227295","68.55426178731211","71.6038583610569","74.77199724675918","77.57733929868839","80.4476884249168","83.03363160108599","86.57173721846198","92.53231233987225","98.27540055829601","101.0951132626308"
"IMF.STA:CPI(3.0.1)","HND.CPI._T.IX.A","OBS_VALUE","Honduras","Consumer price index (CPI)","All Items","235.1083333333333","247.325","260.0916666666668","276.0333333333332","284.75","292.5083333333332","304.0166666666668","317.2333333333332","331.0833333333332","342.5666666666668","357.9166666666668","390.45","416.4666666666665","435.65"
"IMF.STA:CPI(3.0.1)","NIC.CPI._T.IX.A","OBS_VALUE","Nicaragua","Consumer price index (CPI)","All Items","150.2966666666666","161.1083333333333","172.6041666666667","183.0225","190.33860475","197.0445634166667","204.6321025833334","214.75573825","226.3016293333333","234.6336330833333","246.1973498333334","271.9678714166668","294.7796078333332","308.4123935833332"
"IMF.STA:CPI(3.0.1)","PRY.CPI._T.IX.A","OBS_VALUE","Paraguay","Consumer price index (CPI)","All Items","78.78250591016548","81.67848699763594","83.87062110466366","88.0883301096067","90.84461637653128","94.55727487642382","97.9636793466581","101.8583333333334","104.6666666666666","106.5166666666667","111.6166666666666","122.5166666666666","128.1916666666667","133.1083333333334"
"IMF.STA:CPI(3.0.1)","PER.CPI._T.IX.A","OBS_VALUE","Peru","Consumer price index (CPI)","All Items","72.100788717686","74.70450173647983","76.77224514552606","79.39167253785642","82.08947456932152","85.00954217895772","87.5554933470993","88.87684077876105","90.87845558603735","92.6982167384464","96.657972920354","104.7131645","111.4730416666666","113.7110941666667"
"IMF.STA:CPI(3.0.1)","ATG.CPI._T.IX.A","OBS_VALUE","Antigua and Barbuda","Consumer price index (CPI)","All Items","90.55419897108905","93.6121060068111","94.60392423254355","95.63457871410284","96.56127152621792","96.08866416684782","98.42600928676664","99.61416666666668","101.04","101.6725","103.77","111.585","117.2391666666666",""
"IMF.STA:CPI(3.0.1)","VEN.CPI._T.IX.A","OBS_VALUE","Venezuela, República Bolivariana de","Consumer price index (CPI)","All Items","238.541666666667","288.8","406.166666666667","658.675","1460.53333333333","5184.14166666667","","","","","","","",""
"IMF.STA:CPI(3.0.1)","AIA.CPI._T.IX.A","OBS_VALUE","Anguilla, United Kingdom-British Overseas Territory","Consumer price index (CPI)","All Items","105.795","107.285","107.4425","107.17","106.1275","105.573687","106.94","107.3425","108.2175","107.705","109.64","115.73","119.6725",""
"IMF.STA:CPI(3.0.1)","BHS.CPI._T.IX.A","OBS_VALUE","Bahamas, The","Consumer price index (CPI)","All Items","96.04789855072468","97.94327662255832","98.65083333333332","100.1441666666667","102.0083333333333","101.655","103.1983333333333","105.5366666666667","108.1658333333333","108.2075","111.3508333333334","117.5925","121.1825",""
"IMF.STA:CPI(3.0.1)","ABW.CPI._T.IX.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","94.5593333333333","95.1526666666667","92.8955833333333","93.2870833333333","93.7299764460227","92.8571666666667","91.9023333333333","95.23475","99.2893333333333","","","","",""
"IMF.STA:CPI(3.0.1)","BRB.CPI._T.IX.A","OBS_VALUE","Barbados","Consumer price index (CPI)","All Items","72.3864461194863","75.66797529313232","77.0406713324203","78.40390849304835","77.53143769844552","78.5253350083752","82.18476060859852","85.2040759352317","88.69768983807926","","","102.9574958123953","113.0391666666667",""
"IMF.STA:CPI(3.0.1)","DMA.CPI._T.IX.A","OBS_VALUE","Dominica","Consumer price index (CPI)","All Items","100.975","102.345","102.2975","103.11511315","102.245","102.39","102.6933333333333","103.7091666666667","105.2695992","104.5041666666667","106.0541666666666","114.3058333333333","119.1383333333333",""
"IMF.STA:CPI(3.0.1)","GLP.CPI._T.IX.A","OBS_VALUE","Guadeloupe","Consumer price index (CPI)","All Items","96.6366666666667","98.4525","99.3516666666667","99.7025","100.000833333333","99.9066666666667","","","","","","","",""
"IMF.STA:CPI(3.0.1)","GRD.CPI._T.IX.A","OBS_VALUE","Grenada","Consumer price index (CPI)","All Items","106.7083333333334","109.2808333333333","109.23275","108.1583333333333","107.6008333333334","109.3766666666666","110.370308025","111.257798225","111.9232864833334","111.0942342166667","112.4490416666666","115.3508333333333","118.4608333333334",""
"IMF.STA:CPI(3.0.1)","GUY.CPI._T.IX.A","OBS_VALUE","Guyana","Consumer price index (CPI)","All Items","107.1682710540299","109.7316666666667","111.8179419747532","112.7713358497514","111.6416666666667","112.575","114.7191666666667","116.1908333333334","118.6160042998976","119.7942609856205","125.8233333333334","133.5175","137.2841666666666","141.2708333333334"
"IMF.STA:CPI(3.0.1)","BLZ.CPI._T.IX.A","OBS_VALUE","Belize","Consumer price index (CPI)","All Items","96.04861812425855","97.29780795788095","97.79378136321579","98.9686755051603","98.11597722266548","98.76690527162845","99.90040701119678","100.17012075008","100.3575083791027","100.4793771627472","103.7305246580112","110.2415789008636","115.0810080208722","118.8666666666666"
"IMF.STA:CPI(3.0.1)","MTQ.CPI._T.IX.A","OBS_VALUE","Martinique","Consumer price index (CPI)","All Items","96.465","97.8933333333333","99.105","99.8608333333333","100.0","99.755","100.316666666667","","","","","","",""
